Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Finland,FIN,Economic Fitness Metric,EF.EFM.PROD.XD,1.9256,1.8927,1.9636,2.1147,2.1179,2.0272,1.975,1.8907,1.9244,1.9074
Finland,FIN,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.78463,0.70595,0.67372,0.67596,0.71617,0.73816,0.66688,0.62692,0.641,..
France,FRA,Economic Fitness Metric,EF.EFM.PROD.XD,6.8593,6.599,6.3556,6.2616,6.0269,6.0472,6.0543,5.7148,5.7463,5.8629
France,FRA,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,7.609,7.7764,7.552,7.3529,7.0996,7.2414,7.3007,6.8112,6.8847,..
French Polynesia,PYF,Economic Fitness Metric,EF.EFM.PROD.XD,0.0073837,0.028619,0.037687,0.033716,0.043319,0.05392,0.044229,0.036886,0.017842,0.0063002
French Polynesia,PYF,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,Economic Fitness Metric,EF.EFM.PROD.XD,0,0,1.8454E-59,0,4.2864E-256,4.0199E-106,2.0654E-122,4.4111E-154,1.981E-174,5.4259E-103
Gabon,GAB,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.0050116,0.0069178,0.0087095,0.0056462,0.0042925,..,..,..,..,..
"Gambia, The",GMB,Economic Fitness Metric,EF.EFM.PROD.XD,1.1269E-297,4.4843E-09,0.00051463,0.015277,0.019073,0.017775,0.014028,0.0011396,0.00074381,3.565E-06
"Gambia, The",GMB,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.00033998,0.0005741,0.00064978,0.0025028,0.0027277,0.0031689,0.002667,0.00060082,0.0020455,..
Georgia,GEO,Economic Fitness Metric,EF.EFM.PROD.XD,0.053005,0.10957,0.11886,0.13666,0.14459,0.1529,0.16859,0.18428,0.21195,0.17224
Georgia,GEO,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.010719,0.01774,0.02014,0.020356,0.022261,0.024836,0.024326,0.022531,0.025287,..
Germany,DEU,Economic Fitness Metric,EF.EFM.PROD.XD,8.6905,8.4494,8.3555,8.3407,8.2857,8.7341,8.3717,8.6056,8.7004,9.2755
Germany,DEU,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,13.754,13.209,12.811,12.614,12.123,12.542,12.778,12.003,12.591,..
Ghana,GHA,Economic Fitness Metric,EF.EFM.PROD.XD,0.005358,0.015093,0.024009,0.023344,0.019164,0.033754,0.017429,0.0086138,0.014416,0.009314
Ghana,GHA,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.024116,0.031915,0.030001,0.059747,0.048223,0.050925,0.049923,0.049747,0.055827,..
